date,time,category,sub_category,count,priority,department,days_ago
2025-01-01,08:56,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-01-01,10:41,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-01-01,14:17,Asset Check In,Monitor,1,Low,Asset Department,
2025-01-01,17:26,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-01-01,17:37,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-01-02,02:49,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-02,09:54,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-02,12:23,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-01-02,14:20,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-02,16:52,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-02,17:59,Others,General Inquiry,1,Low,IT Department,
2025-01-03,08:21,Asset Check In,Laptop,1,Medium,Asset Department,
2025-01-03,09:29,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-03,11:37,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-03,16:39,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-03,17:50,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-01-04,10:42,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-01-04,13:10,Asset Check In,Keyboard,1,Low,Asset Department,
2025-01-05,11:42,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-06,06:09,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-06,08:15,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-06,09:29,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-06,09:59,IT Support,Virus/Malware Check,1,High,IT Department,
2025-01-06,12:14,Asset Check In,Keyboard,1,Low,Asset Department,
2025-01-06,12:19,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-06,13:47,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-06,17:31,Asset Check In,Laptop,1,Medium,Asset Department,
2025-01-06,23:47,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-07,09:20,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-07,09:52,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-07,14:18,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-01-07,14:33,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-01-07,20:21,IT Support,Hardware Troubleshooting,1,High,IT Department,
