date,time,category,sub_category,count,priority,department,days_ago
2025-04-29,09:20,Others,General Inquiry,1,Medium,IT Department,
2025-03-19,14:02,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-02-17,14:36,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-04-23,15:38,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-09-04,10:15,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-02-12,14:05,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2026-01-06,14:33,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-04-21,12:16,Others,,1,Medium,IT Department,
2025-03-06,14:08,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-31,14:55,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-12-01,14:56,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-08-08,10:25,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-03-28,15:00,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-09-26,08:23,IT Support,Internet/Network Connectivity Issue,1,High,IT Department,
2025-05-21,14:44,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-08-07,15:26,IT Support,Virus/Malware Check,1,High,IT Department,
2025-06-17,09:59,Asset Check In,Monitor,1,Low,Asset Department,
2025-03-31,13:43,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-08-22,10:50,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-11-07,10:46,IT Support,Data Backup/Restore,1,High,IT Department,
2025-10-17,17:10,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-01-29,10:49,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-10-20,15:49,Asset Check In,Monitor,1,Low,Asset Department,
2025-12-16,11:18,Others,General Inquiry,1,Medium,IT Department,
2025-03-12,14:20,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-12-09,14:15,IT Support,Software Installation/Update,1,Low,IT Department,
2025-11-05,10:26,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-01-20,16:44,Others,,1,Medium,IT Department,
2025-01-14,14:59,IT Support,Data Backup/Restore,1,Low,IT Department,
2025-01-24,09:18,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-01-27,15:19,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-12-10,14:50,IT Support,Virus/Malware Check,1,High,IT Department,
2026-01-05,17:17,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-01-07,11:44,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-04-11,08:50,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-11-19,15:37,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-21,09:06,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-12-16,17:54,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-01-15,17:29,Others,,1,High,IT Department,
2025-11-03,17:04,IT Support,Data Backup/Restore,1,High,IT Department,
2025-02-07,10:15,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-05-20,09:46,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-02-21,15:08,IT Support,Internet/Network Connectivity Issue,1,Low,IT Department,
2025-09-02,10:42,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-01-16,14:21,Asset Check Out,Laptop,1,Low,Asset Department,
2025-01-03,14:56,IT Support,Software Installation/Update,1,High,IT Department,
2025-12-11,10:40,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-05-02,15:17,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-01-02,09:28,IT Support,Technical Assistance,1,Critical,IT Department,
2025-05-22,15:40,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-09-29,15:22,Asset Check Out,Laptop,1,High,Asset Department,
